n,T(n),"log(n,10)","T(n)/math.log(n,10)",n,T(n)/n,n**2,T(n)/n**2,n**3,T(n)/n**3,2**n,T(n)/2**n
10,3.6000000000258047e-06,1.0,3.6000000000258047e-06,10,3.600000000025805e-07,100,3.6000000000258045e-08,1000,3.6000000000258047e-09,1024,3.5156250000252e-09
20,4.999999999999449e-06,1.301029995663981,3.843108934200781e-06,20,2.4999999999997246e-07,400,1.2499999999998623e-08,8000,6.249999999999312e-10,1048576,4.7683715820307245e-12
30,7.200000000018303e-06,1.4771212547196624,4.874345946220079e-06,30,2.400000000006101e-07,900,8.000000000020338e-09,27000,2.6666666666734455e-10,1073741824,6.7055225372484915e-15
40,8.599999999980846e-06,1.6020599913279623,5.368088614991394e-06,40,2.1499999999952114e-07,1600,5.374999999988028e-09,64000,1.343749999997007e-10,1099511627776,7.821654435229762e-18
50,1.0999999999994348e-05,1.6989700043360185,6.474511010742243e-06,50,2.1999999999988696e-07,2500,4.399999999997739e-09,125000,8.799999999995478e-11,1125899906842624,9.769962616696358e-21
60,1.2399999999979095e-05,1.7781512503836434,6.973535011323556e-06,60,2.0666666666631824e-07,3600,3.4444444444386376e-09,216000,5.7407407407310624e-11,1152921504606846976,1.0755285551038072e-23
70,1.420000000000865e-05,1.845098040014257,7.69606800942617e-06,70,2.0285714285726642e-07,4900,2.8979591836752345e-09,343000,4.139941690964621e-11,1180591620717411303424,1.2027867851018391e-26
80,1.5399999999976542e-05,1.9030899869919433,8.092102898569734e-06,80,1.9249999999970678e-07,6400,2.406249999996335e-09,512000,3.0078124999954186e-11,1208925819614629174706176,1.2738581433297222e-29
90,1.6400000000005298e-05,1.9542425094393248,8.391998393643829e-06,90,1.822222222222811e-07,8100,2.0246913580253456e-09,729000,2.249657064472606e-11,1237940039285380274899124224,1.3247814497923863e-32
100,1.80000000000069e-05,2.0,9.00000000000345e-06,100,1.8000000000006898e-07,10000,1.8000000000006899e-09,1000000,1.8000000000006898e-11,1267650600228229401496703205376,1.4199496293983655e-35
